Title,Link,"Tag (to add more than one, duplicate the row)",Last updated,Content type,Content sub-type,link_title,link_content_id,link_type,Policies,Collections,Withdrawn,12-month timeline,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,Total unique pageviews,Highest month,Lowest month,Monthly average,Monthly median,Recommendation,Redirect/combine with which content url,Notes,Changes live yet?,Status code,Redirecting
Childcare providers and inspections,https://www.gov.uk/government/statistics/announcements/childcare-providers-and-inspections,,,Statistics announcement,Official Statistics,,,ofsted,,,,,,,,9,9,3,32,31,3,4,2,2,95,32,2,8,4,current - no work needed,,,,200,
Foundation-stage profile attainment by pupil characteristics: England - academic year 2009 to 2010,https://www.gov.uk/government/statistics/foundation-stage-profile-attainment-by-pupil-characteristics-england-academic-year-2009-to-2010,,16/12/2010,Publication,National Statistics,,,department-for-education,childcare-and-early-education,/government/collections/statistics-early-years-foundation-stage-profile,,,29,30,22,22,24,11,19,7,6,11,27,17,225,30,6,19,20,current - no work needed,,,N/A,200,
Boost for childminders and hardworking families,https://www.gov.uk/government/news/boost-for-childminders-and-hardworking-families,,28/03/2014,News article,Press release,,,department-for-education,childcare-and-early-education,,,,12,29,16,20,15,10,18,12,10,10,20,10,182,29,10,15,14,current - no work needed,,,N/A,200,
Consultation on teachers’ standards (early years),https://www.gov.uk/government/consultations/consultation-on-teachers-standards-early-years,,21/03/2013,Consultation,Consultation outcome,,,department-for-education,childcare-and-early-education,,,,18,28,17,27,20,15,11,8,14,11,12,17,198,28,8,16,16,current - no work needed,,,N/A,200,
Ofsted’s children's services annual rating process to end,https://www.gov.uk/government/news/ofsteds-childrens-services-annual-rating-process-to-end,,09/12/2010,News article,News story,,,"department-for-education, ofsted",,,,,5,9,6,10,12,13,28,8,11,10,8,11,131,28,5,11,10,current - no work needed,,,N/A,200,
£1 million in grants paid out as childcare scheme hits milestone,https://www.gov.uk/government/news/1-million-in-grants-paid-out-as-childcare-scheme-hits-milestone,,03/09/2014,News article,Press release,,,department-for-education,childcare-and-early-education,,,,17,28,25,21,15,20,16,10,8,7,10,4,181,28,4,15,16,current - no work needed,,,N/A,200,
Education Bill gives Secretary of State new powers to intervene in underperforming schools,https://www.gov.uk/government/news/education-bill-gives-secretary-of-state-new-powers-to-intervene-in-underperforming-schools,,27/01/2011,News article,Press release,,,department-for-education,"school-behaviour-and-attendance, school-and-college-funding-and-accountability",,,,13,17,24,27,11,24,28,23,9,16,13,10,215,28,9,18,16,not relevant to topic - remove from list,,This isn't related to early years. Remove from list.,N/A,200,
A comparison of international childcare systems,https://www.gov.uk/government/publications/a-comparison-of-international-childcare-systems,,16/07/2013,Publication,Research and analysis,,,department-for-education,childcare-and-early-education,,,,21,28,27,27,26,21,23,6,16,12,26,15,248,28,6,21,22,current - no work needed,,,N/A,200,
Effective collaboration helping parents and returning to work,https://www.gov.uk/government/publications/effective-collaboration-helping-parents-and-returning-to-work,,08/10/2012,Publication,Research and analysis,,,ofsted,,/government/collections/ofsted-examples-of-good-practice-in-early-years,,,,6,7,5,12,14,28,14,15,11,12,6,130,28,5,11,12,current - no work needed,,,,200,
I CAN's early talk programme: evaluation,https://www.gov.uk/government/publications/i-cans-early-talk-programme-independent-evaluation-of-the-impact-of-early-talk-on-addressing-speech-communication-and-language-needs-in-sure-start,,27/01/2011,Publication,Research and analysis,,,department-for-education,childcare-and-early-education,,,,23,28,24,25,23,11,26,14,10,14,17,18,233,28,10,19,20,current - no work needed,,,N/A,200,
Payment by results in children’s centres evaluation,https://www.gov.uk/government/publications/payment-by-results-in-childrens-centres-evaluation,,11/06/2014,Publication,Research and analysis,,,department-for-education,childcare-and-early-education,,,,21,17,15,11,19,28,10,6,6,11,8,9,161,28,6,13,11,current - no work needed,,,N/A,200,
Sarah Teather on reforming Early Years,https://www.gov.uk/government/speeches/sarah-teather-on-reforming-early-years,,20/12/2011,Speech,Statement to Parliament,,,department-for-education,children-outside-mainstream-education,,,,12,14,4,8,7,28,4,1,4,8,16,16,122,28,1,10,8,current - no work needed,,,N/A,200,
England's 15-year-olds' reading: over a year behind the world's best,https://www.gov.uk/government/news/englands-15-year-olds-reading-over-a-year-behind-the-worlds-best,,26/04/2012,News article,News story,,,department-for-education,school-and-college-qualifications-and-curriculum,,,,27,21,20,7,12,18,19,8,7,16,17,20,192,27,7,16,18,current - no work needed,,,N/A,200,
Phonics funding: thousands of schools sign up,https://www.gov.uk/government/news/phonics-funding-thousands-of-schools-sign-up,,19/01/2012,News article,Press release,,,department-for-education,school-and-college-qualifications-and-curriculum,,,,16,27,15,18,21,14,17,11,9,14,14,20,196,27,9,16,16,not relevant to topic - remove from list,,This isn't related to early years. Remove from list.,N/A,200,
Early Years Register inspection and regulation from September 2012.,https://www.gov.uk/government/publications/early-years-register-inspection-and-regulation-from-september-2012,,02/12/2014,Publication,Guidance,,,ofsted,,,withdrawn,,9,16,15,27,16,20,27,8,3,1,10,8,160,27,1,13,12,duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/government/publications/early-years-register-inspection-and-regulation-presentation,This is a withdrawn duplicate of presentation in row 399: 399 looks better so should redirect 397 to 399 and withdraw 397.,,200,
First national survey of practitioners with early years' professional status,https://www.gov.uk/government/publications/first-national-survey-of-practitioners-with-early-years-professional-status,,15/01/2011,Publication,Research and analysis,,,department-for-education,,,,,7,27,13,15,11,16,6,4,1,5,10,9,124,27,1,10,10,duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/government/publications/second-national-survey-of-practitioners-with-early-years-professional-status,I suggest putting both surveys of practitioners with early years professional status on the same page. Users interested in one are very likely to be interested in both. ,Yes,200,
Edward Timpson speaks about mental health services for young people,https://www.gov.uk/government/speeches/edward-timpson-speaks-about-mental-health-services-for-young-people,,06/11/2013,Speech,Speech,,,department-for-education,"education-of-disadvantaged-children, special-educational-needs-and-disability-send",,,,15,13,25,17,19,8,12,14,5,11,17,10,166,25,5,14,14,not relevant to topic - remove from list,,This isn't about early years. Remove from list.,N/A,200,
Early years foundation stage profile results in England: 2015 to 2016,https://www.gov.uk/government/statistics/announcements/early-years-foundation-stage-profile-results-in-england-2015-to-2016,,,Statistics announcement,National Statistics,,,department-for-education,,,,,,,,,,,,,,,4,25,29,25,4,2,14,current - no work needed,,,N/A,200,
Bureaucracy axed to put vulnerable children first,https://www.gov.uk/government/news/bureaucracy-axed-to-put-vulnerable-children-first,,12/06/2012,News article,Press release,,,"department-for-education, ofsted",children-s-social-workers,,,,12,13,8,13,5,24,14,5,4,4,10,11,123,24,4,10,10,not relevant to topic - remove from list,,This isn't about early years. Remove from list.,N/A,200,
Consultation launched on free early education,https://www.gov.uk/government/news/consultation-launched-on-free-early-education,,11/11/2011,News article,Press release,,,"department-for-education, deputy-prime-ministers-office",childcare-and-early-education,,,,7,15,12,6,9,24,6,9,5,8,11,13,125,24,5,10,9,current - no work needed,,,N/A,200,
Letter to childminders in England from Elizabeth Truss,https://www.gov.uk/government/publications/letter-to-childminders-in-england-from-elizabeth-truss,,03/02/2014,Publication,Correspondence,,,department-for-education,childcare-and-early-education,,,,21,23,15,24,10,24,16,7,6,5,4,8,163,24,4,14,12,out of date - withdraw or redirect to somewhere helpful (if there is no up-to-date equivalent),https://www.gov.uk/government/policies/childcare-and-early-education,"This letter is about childcare reforms that have already happened. Anyone looking for more info on upcoming childcare reforms will find that information on the early years policy page, so I suggest redirecting there.",Yes,302,https://www.gov.uk/government/policies/childcare-and-early-education
Munro Review of Child Protection: government response,https://www.gov.uk/government/news/munro-review-of-child-protection-government-response,,13/07/2011,News article,Government response,,,department-for-education,children-s-social-workers,,,,15,23,17,15,20,12,14,14,12,11,9,10,172,23,9,14,14,current - no work needed,,,N/A,200,
Major milestone for early education,https://www.gov.uk/government/news/major-milestone-for-early-education,,15/08/2012,News article,News story,,,department-for-education,childcare-and-early-education,,,,15,23,7,14,7,20,11,6,11,17,16,13,160,23,6,13,14,current - no work needed,,,N/A,200,
Written ministerial statement by Michael Gove on schools financial settlement - education spending,https://www.gov.uk/government/speeches/written-ministerial-statement-by-michael-gove-on-schools-financial-settlement-education-spending--2,,13/12/2010,Speech,Statement to Parliament,,,department-for-education,"special-educational-needs-and-disability-send, school-building-and-maintenance, education-of-disadvantaged-children, childcare-and-early-education, teaching-and-school-leadership",,,,21,22,23,12,23,15,12,8,7,5,7,11,166,23,5,14,12,current - no work needed,,,N/A,200,
Neighbourhood statistics: small area pupil attainment by pupil characteristics in England: 2011,https://www.gov.uk/government/statistics/neighbourhood-statistics-small-area-pupil-attainment-by-pupil-characteristics-in-england-2011,,21/06/2012,Publication,Official Statistics,,,department-for-education,,/government/collections/statistics-neighbourhood-absence-and-attainment,,,4,10,20,11,22,13,13,8,5,9,11,16,142,22,4,12,11,current - no work needed,,,N/A,200,
Second national survey of practitioners with early years professional status,https://www.gov.uk/government/publications/second-national-survey-of-practitioners-with-early-years-professional-status,,27/09/2012,Publication,Research and analysis,,,department-for-education,,,,,13,22,17,14,13,7,8,4,2,8,4,9,121,22,2,10,8,duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/government/publications/first-national-survey-of-practitioners-with-early-years-professional-status,I suggest putting both surveys of practitioners with early years professional status on the same page. Users interested in one are very likely to be interested in both. ,Yes,302,https://www.gov.uk/government/publications/first-national-survey-of-practitioners-with-early-years-professional-status
The impact of Sure Start local programmes on 7-year-olds and their families,https://www.gov.uk/government/publications/the-impact-of-sure-start-local-programmes-on-7-year-olds-and-their-families,,28/06/2012,Publication,Research and analysis,edition,,department-for-education,,,,,14,22,20,20,19,10,7,7,5,12,7,21,164,22,5,14,13,duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/government/publications/the-impact-of-sure-start-local-programmes-on-5-year-olds-and-their-families,I suggest putting both studies on the impact of sure start centes on the same page. People interested in one are likely to be interested in both. ,Yes,302,https://www.gov.uk/government/publications/the-impact-of-sure-start-local-programmes-on-5-year-olds-and-their-families
Making Britain fit for modern families: speech by Nick Clegg,https://www.gov.uk/government/speeches/making-britain-fit-for-modern-families-speech-by-nick-clegg,,02/09/2013,Speech,Speech,,,"cabinet-office, deputy-prime-ministers-office","social-mobility, childcare-and-early-education",,,,15,22,16,9,14,16,9,8,2,4,6,6,127,22,2,11,9,,,,,200,
NCTL annual survey of school and children's centre leaders 2013,https://www.gov.uk/government/publications/nctl-annual-survey-of-school-and-childrens-centre-leaders-2013,,28/10/2014,Publication,Research and analysis,,,national-college-for-teaching-and-leadership,,,,,21,10,9,8,5,8,2,3,9,4,5,11,95,21,2,8,8,,,Awaiting reply from content owner on whether this can be archived. They are getting back to me on Monday 18 January but I will be back at work on Tuesday 19 January (Sara Head).,,200,
Elizabeth Truss speaks at the Policy Exchange on childcare,https://www.gov.uk/government/speeches/elizabeth-truss-speaks-at-the-policy-exchange-on-childcare,,30/01/2013,Speech,Speech,,,department-for-education,childcare-and-early-education,,,,13,21,13,17,15,14,9,5,5,10,6,8,136,21,5,11,12,current - no work needed,,,N/A,200,
Written ministerial statement by Michael Gove on education funding,https://www.gov.uk/government/speeches/written-ministerial-statement-by-michael-gove-on-education-funding,,13/12/2011,Speech,Statement to Parliament,,,department-for-education,"school-building-and-maintenance, education-of-disadvantaged-children, young-people, childcare-and-early-education, further-education-and-training",,,,14,21,21,8,6,11,9,3,11,6,3,4,117,21,3,10,8,not relevant to topic - remove from list,,This isn't about early years. Remove from list.,N/A,200,
Department for Education responds to Graham Allen’s independent review of early intervention,https://www.gov.uk/government/news/department-for-education-responds-to-graham-allens-independent-review-of-early-intervention,,19/01/2011,News article,News story,,,department-for-education,"childcare-and-early-education, children-s-social-workers",,,,11,20,10,15,14,8,8,7,3,4,4,6,110,20,3,9,8,current - no work needed,,,N/A,200,
Setting research priorities in education and children’s services,https://www.gov.uk/government/news/setting-research-priorities-in-education-and-childrens-services,,13/03/2014,News article,News story,,,department-for-education,"teaching-and-school-leadership, looked-after-children-and-adoption, academies-and-free-schools, school-and-college-funding-and-accountability, special-educational-needs-and-disability-send, school-and-college-qualifications-and-curriculum, children-s-social-workers, childcare-and-early-education, school-behaviour-and-attendance",,,,14,11,7,8,5,20,17,13,6,17,20,15,153,20,5,13,14,current - no work needed,,,N/A,200,
Department for Education annual report and accounts: financial year 2010 to 2011,https://www.gov.uk/government/publications/department-for-education-annual-report-and-accounts-financial-year-2010-to-2011,,07/07/2011,Publication,Corporate report,,,department-for-education,central-government-efficiency,/government/collections/dfe-annual-reports,,,10,17,17,18,20,10,7,11,5,11,8,18,152,20,5,13,11,not relevant to topic - remove from list,,This isn't related to early years. Remove from list.,N/A,200,
Early years foundation stage profile: local authority moderation requirements booklet 2010 to 2011,https://www.gov.uk/government/publications/early-years-foundation-stage-profile-local-authority-moderation-requirements-booklet-2010-11,,15/12/2010,Publication,Guidance,,,department-for-education,childcare-and-early-education,,,,10,16,12,20,11,19,9,8,6,14,10,11,146,20,6,12,11,out of date - withdraw or redirect to somewhere helpful (if there is no up-to-date equivalent),https://www.gov.uk/government/publications/early-years-foundation-stage-profile-handbook,This document is about moderation in 2010-2011. The EYFS framework includes general info on moderation applicable to any year. I recommend redirecting there.,Yes,302,https://www.gov.uk/government/publications/early-years-foundation-stage-profile-handbook
Early Years Register inspection and regulation: presentation,https://www.gov.uk/government/publications/early-years-register-inspection-and-regulation-presentation,,01/03/2012,Publication,Guidance,,,ofsted,,,,,5,20,9,6,13,9,13,9,11,7,9,4,115,20,4,10,9,out of date - withdraw or redirect to somewhere helpful (if there is no up-to-date equivalent),,,,200,
EYFSP 2014: technical specification,https://www.gov.uk/government/publications/eyfsp-2014-technical-specification,,09/04/2014,Publication,Guidance,,,department-for-education,childcare-and-early-education,/government/collections/early-years-foundation-stage-profile-return,,,20,18,16,11,8,8,19,12,8,15,14,8,157,20,8,13,13,current - no work needed,,"This guide is old, but we've commmited to keeping 3 years' worth of these sorts of guides.",N/A,200,
Nick Clegg’s speech  on education and outstanding leaders,https://www.gov.uk/government/speeches/nick-cleggs-speech-on-education-and-outstanding-leaders,,24/10/2013,Speech,Speech,,,"cabinet-office, deputy-prime-ministers-office",teaching-and-school-leadership,,,,13,12,14,20,16,19,8,9,6,9,16,11,153,20,6,13,12,,,,,200,
VATGPB6610 - Local government partnership programmes: examples: Sure Start,https://www.gov.uk/hmrc-internal-manuals/vat-government-and-public-bodies/vatgpb6610,,10/02/2015,Hmrc manual section,,,,hm-revenue-customs,,,,,,,12,15,19,13,7,6,3,10,13,12,110,19,3,9,12,,,,,200,
Approval of home childcarers (Northern Ireland),https://www.gov.uk/approval-of-home-child-carers-northern-ireland,,,Licence,,,,,,,,,10,14,11,19,13,11,11,12,11,12,10,11,145,19,10,12,11,,,,,200,
Professor Nutbrown’s interim report on early education and childcare qualifications,https://www.gov.uk/government/news/professor-nutbrowns-interim-report-on-early-education-and-childcare-qualifications,,13/03/2012,News article,Press release,,,department-for-education,childcare-and-early-education,,,,16,19,13,19,8,6,7,3,1,5,9,15,121,19,1,10,8,current - no work needed,,,N/A,200,
Views sought on which 2-year-olds should get free early education,https://www.gov.uk/government/news/views-sought-on-which-2-year-olds-should-get-free-early-education,,05/07/2012,News article,Press release,,,department-for-education,childcare-and-early-education,,,,3,11,12,19,5,12,17,7,4,6,6,7,109,19,3,9,7,current - no work needed,,,N/A,200,
Dame Clare Tickell responds to inaccurate reports about her review of the EYFS,https://www.gov.uk/government/news/dame-clare-tickell-responds-to-inaccurate-reports-about-her-review-of-the-eyfs,,01/04/2011,News article,Government response,,,department-for-education,childcare-and-early-education,,,,13,18,9,14,11,9,8,5,3,4,10,8,112,18,3,9,9,current - no work needed,,,N/A,200,
Letter on changes to the inspection of early years settings,https://www.gov.uk/government/publications/letter-on-changes-to-the-inspection-of-early-years-settings,,24/07/2012,Publication,Correspondence,,,department-for-education,childcare-and-early-education,,,,12,18,10,18,13,13,3,4,6,12,8,3,120,18,3,10,11,out of date - withdraw or redirect to somewhere helpful (if there is no up-to-date equivalent),https://www.gov.uk/government/policies/childcare-and-early-education,"This letter is about changes to inspections of early years settings that have already taken place. I suggets redirecting to the early years policy page, or to a general early years inspections topic page if there is going to be one. ",Yes,302,https://www.gov.uk/government/policies/childcare-and-early-education
Childcare and early years survey of parents: 2010,https://www.gov.uk/government/statistics/childcare-and-early-years-survey-of-parents-2010,,28/06/2012,Publication,Official Statistics,,,department-for-education,childcare-and-early-education,/government/collections/statistics-childcare-and-early-years,,,13,18,10,8,15,12,4,5,4,11,4,9,113,18,4,9,10,current - no work needed,,,N/A,200,
Childcare and early years survey of parents 2009,https://www.gov.uk/government/publications/childcare-and-early-years-survey-of-parents-2009,,28/10/2010,Publication,Research and analysis,,,department-for-education,childcare-and-early-education,/government/collections/childcare-and-early-years-providers-survey,,,7,18,11,7,7,6,4,6,2,3,11,10,92,18,2,8,7,current - no work needed,,,N/A,200,
Group childcare quality in Sure Start areas and child outcomes,https://www.gov.uk/government/publications/the-quality-of-group-childcare-settings-used-by-3-to-4-year-old-children-in-sure-start-local-programme-areas-and-the-relationship-with-child-outcomes,,25/11/2010,Publication,Research and analysis,,,department-for-education,childcare-and-early-education,,,,7,18,12,13,12,7,9,8,9,4,4,7,110,18,4,9,8,current - no work needed,,,N/A,200,
Qualitative research into families' experiences and behaviours in the childcare affordability pilots 2009,https://www.gov.uk/government/publications/qualitative-research-into-families-experiences-and-behaviours-in-the-childcare-affordability-pilots-cap09-100-costs-pilot,,28/04/2011,Publication,Research and analysis,,,department-for-education,childcare-and-early-education,/government/collections/childcare-affordability-pilots,,,6,12,8,18,2,4,7,5,,3,6,7,78,18,2,6,6,current - no work needed,,,N/A,200,
Written ministerial statement by Sarah Teather on the early years foundation stage,https://www.gov.uk/government/speeches/written-ministerial-statement-by-sarah-teather-on-the-early-years-foundation-stage,,27/03/2012,Speech,Statement to Parliament,,,department-for-education,childcare-and-early-education,,,,9,13,8,18,11,10,9,5,4,3,11,7,108,18,3,9,9,current - no work needed,,,N/A,200,
Childcare and early years survey of parents: 2014 to 2015,https://www.gov.uk/government/statistics/announcements/childcare-and-early-years-survey-of-parents-2014-to-2015,,,Statistics announcement,Official Statistics,,,department-for-education,,,,,,,,2,9,10,9,12,10,11,17,18,98,18,2,8,10,current - no work needed,,,N/A,200,
Childcare and early years providers survey,https://www.gov.uk/government/collections/childcare-and-early-years-providers-survey,,27/09/2012,Document collection,Collection,,,department-for-education,,,,,9,17,8,15,11,10,12,8,5,7,10,12,124,17,5,10,10,duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/government/collections/statistics-childcare-and-early-years,This collection is a duplicate of the stats collection on the same subject. Redirect. ,Yes,302,https://www.gov.uk/government/collections/statistics-childcare-and-early-years
DfE consultation on the 'More great childcare' report before publication,https://www.gov.uk/government/publications/dfe-consultation-on-the-more-great-childcare-report-prior-to-publication,,19/09/2013,Publication,FOI release,,,department-for-education,,,,,10,17,9,11,10,10,7,8,5,11,10,8,116,17,5,10,10,out of date - withdraw or redirect to somewhere helpful (if there is no up-to-date equivalent),https://www.gov.uk/government/publications/more-great-childcare-raising-quality-and-giving-parents-more-choice,[DONE] I don't think people will be asking this question anymore because 'more great childcare' was the work of the previous government. I think anyone looking for 'more great childcare' will be after the actual policy paper. I suggest redirecting there.,Yes,302,https://www.gov.uk/government/publications/more-great-childcare-raising-quality-and-giving-parents-more-choice
Towards universal early years provision: analysis of take-up by disadvantaged families from recent annual childcare surveys,https://www.gov.uk/government/publications/towards-universal-early-years-provision-analysis-of-take-up-by-disadvantaged-families-from-recent-annual-childcare-surveys,,26/11/2010,Publication,Research and analysis,,,department-for-education,education-of-disadvantaged-children,,,,8,15,17,11,8,10,6,2,1,5,7,5,95,17,1,8,8,current - no work needed,,,N/A,200,
Edward Timpson talks about special educational needs reforms,https://www.gov.uk/government/speeches/edward-timpson-talks-about-special-educational-needs-reforms,,14/07/2014,Speech,Speech,,,department-for-education,special-educational-needs-and-disability-send,,,,17,17,8,13,9,14,8,15,4,3,8,14,130,17,3,11,11,not relevant to topic - remove from list,,This isn't about early years. Remove from list.,N/A,200,
Elizabeth Truss speaks to the National Day Nurseries Association,https://www.gov.uk/government/speeches/elizabeth-truss-speaks-to-the-national-day-nurseries-association,,21/06/2013,Speech,Speech,,,department-for-education,childcare-and-early-education,,,,7,15,9,17,9,17,11,9,6,10,7,9,126,17,6,10,9,current - no work needed,,,N/A,200,
Early years foundation stage profile results: 2015 to 2016 - additional tables containing characteristic breakdowns,https://www.gov.uk/government/statistics/announcements/early-years-foundation-stage-profile-results-2015-to-2016-additional-tables-containing-characteristic-breakdowns,,,Statistics announcement,National Statistics,,,department-for-education,,,,,,,,,,,,,,,1,17,18,17,1,2,9,current - no work needed,,,N/A,200,
Childcare and early years survey of parents,https://www.gov.uk/government/statistics/announcements/childcare-and-early-years-survey-of-parents,,,Statistics announcement,Official Statistics,,,department-for-education,,,,,9,16,8,7,10,9,1,4,5,7,7,4,87,16,1,7,7,current - no work needed,,,N/A,301,/government/statistics/childcare-and-early-years-survey-of-parents-2014-to-2015
Expert family organisations to deliver parenting classes in 3 areas of the country from this spring,https://www.gov.uk/government/news/expert-family-organisations-to-deliver-parenting-classes-in-3-areas-of-the-country-from-this-spring,,28/03/2012,News article,Press release,,,department-for-education,,,,,11,15,14,6,9,3,12,1,9,2,8,6,96,15,1,8,8,not relevant to topic - remove from list,,This isn't related to early years. Remove from list.,N/A,200,
Question about the number of Sure Start children's centres,https://www.gov.uk/government/publications/question-about-the-number-of-sure-start-childrens-centres,,21/07/2011,Publication,FOI release,,,department-for-education,childcare-and-early-education,,,,9,15,4,4,13,7,2,8,6,3,3,9,83,15,2,7,6,out of date - withdraw or redirect to somewhere helpful (if there is no up-to-date equivalent),https://www.gov.uk/find-sure-start-childrens-centre,"[DONE] The answer to this FOI is no longer valid, as it's about the number of sure start centres back in 2011. I suggest redirecting to the citizen-facing page where parents can find sure start centres in their area.",Yes,302,https://www.gov.uk/find-sure-start-childrens-centre
Childcare and early years providers survey 2011,https://www.gov.uk/government/publications/childcare-and-early-years-providers-survey-2011--2,,27/09/2012,Publication,Research and analysis,,,department-for-education,childcare-and-early-education,/government/collections/childcare-and-early-years-providers-survey,,,10,15,5,13,11,8,8,2,4,3,9,6,94,15,2,8,8,duplicate - combine and redirect this item to another item that also belongs to your organisation,https://www.gov.uk/government/statistics/childcare-and-early-years-providers-survey-2011,Duplicate - redirect.,Yes,302,https://www.gov.uk/government/statistics/childcare-and-early-years-providers-survey-2011
Childcare and early years survey of parents 2010,https://www.gov.uk/government/publications/childcare-and-early-years-survey-of-parents-2010--2,,28/06/2012,Publication,Research and analysis,,,department-for-education,,/government/collections/childcare-and-early-years-providers-survey,,,7,15,15,9,10,8,2,3,1,4,3,5,82,15,1,7,6,current - no work needed,https://www.gov.uk/government/statistics/childcare-and-early-years-survey-of-parents-2010,Duplicate - redirect.,Yes,302,https://www.gov.uk/government/statistics/childcare-and-early-years-survey-of-parents-2010
Quality nurseries urged to make full use of flexibility,https://www.gov.uk/government/news/quality-nurseries-urged-to-make-full-use-of-flexibility,,19/04/2013,News article,Press release,,,department-for-education,childcare-and-early-education,,,,4,6,9,5,9,11,14,6,8,9,6,11,98,14,4,8,8,current - no work needed,,,N/A,200,
"Neighbourhood statistics: small area early years foundation stage profile, national curriculum assessment, GCSE and equivalent, and post-16 attainment by pupil characteristics in England - 2009",https://www.gov.uk/government/statistics/neighbourhood-statistics-small-area-early-years-foundation-stage-profile-national-curriculum-assessment-gcse-and-equivalent-and-post-16-attainment,,13/05/2010,Publication,National Statistics,,,department-for-education,,/government/collections/statistics-neighbourhood-absence-and-attainment,,,5,10,7,10,13,6,9,7,5,4,13,14,103,14,4,9,8,current - no work needed,,,N/A,200,
Childcare and early years providers survey 2009,https://www.gov.uk/government/publications/childcare-and-early-years-providers-survey-2009,,29/07/2010,Publication,Research and analysis,,,department-for-education,childcare-and-early-education,/government/collections/childcare-and-early-years-providers-survey,,,7,14,8,8,9,3,9,2,3,1,2,7,73,14,1,6,7,current - no work needed,,,N/A,200,
David Laws speaks to the National Education Trust on raising standards,https://www.gov.uk/government/speeches/david-laws-speaks-to-the-national-education-trust-on-raising-standards,,07/03/2013,Speech,Speech,,,department-for-education,"education-of-disadvantaged-children, school-and-college-qualifications-and-curriculum",,,,12,14,7,11,8,10,8,4,5,5,7,4,95,14,4,8,8,current - no work needed,,,N/A,200,
Michael Gove on public sector pension reforms,https://www.gov.uk/government/speeches/michael-gove-on-public-sector-pension-reforms,,28/11/2011,Speech,Speech,,,department-for-education,teaching-and-school-leadership,,,,3,7,5,14,4,6,5,4,5,2,4,1,60,14,1,5,4,not relevant to topic - remove from list,,This isn't about early years. Remove from list.,N/A,200,
Coalition government to reward local authorities for improving children's lives,https://www.gov.uk/government/news/coalition-government-to-reward-local-authorities-for-improving-childrens-lives,,05/03/2012,News article,Press release,,,department-for-education,childcare-and-early-education,,,,8,13,4,11,9,5,5,2,2,1,3,3,66,13,1,6,4,current - no work needed,,,N/A,200,
Overhaul to England’s school building programme,https://www.gov.uk/government/news/overhaul-to-englands-school-building-programme,,05/07/2010,News article,Press release,,,department-for-education,school-building-and-maintenance,,,,4,8,13,5,8,8,5,8,5,2,5,4,75,13,2,6,5,current - no work needed,,,N/A,200,
EYFSP 2013: guide,https://www.gov.uk/government/publications/early-years-foundation-stage-profile-2013-guide,,16/05/2013,Publication,Guidance,,,department-for-education,childcare-and-early-education,/government/collections/early-years-foundation-stage-profile-return,,,3,11,5,11,3,9,13,7,4,5,5,2,78,13,2,6,5,current - no work needed,,"This guide is old, but we've commmited to keeping 3 years' worth of these sorts of guides.",N/A,200,
Foundation learning national evaluation,https://www.gov.uk/government/publications/foundation-learning-national-evaluation,,30/06/2011,Publication,Research and analysis,,,department-for-education,childcare-and-early-education,,,,1,13,12,2,6,6,3,4,3,3,6,8,67,13,1,6,5,not relevant to topic - remove from list,,This isn't about early years (foundation learning is a programme for 14 to 19 year olds). Remove from list.,N/A,200,
Childcare provision: letter from Elizabeth Truss to councils,https://www.gov.uk/government/publications/childcare-provision-letter-from-elizabeth-truss-to-councils,,10/02/2014,Publication,Correspondence,,,department-for-education,childcare-and-early-education,,,,10,12,9,8,5,7,7,4,,3,5,3,73,12,3,6,7,out of date - withdraw or redirect to somewhere helpful (if there is no up-to-date equivalent),https://www.gov.uk/government/policies/childcare-and-early-education,This letter is about early years funding in 2014. I suggest redirecting to the early years policy page or toa general early years funding topic page if there is going to be one.,Yes,302,https://www.gov.uk/government/policies/childcare-and-early-education
Michael Gove to the National Conference of Directors of Children's and Adult Services,https://www.gov.uk/government/speeches/michael-gove-to-the-national-conference-of-directors-of-childrens-and-adult-services,,09/02/2011,Speech,Speech,,,department-for-education,"education-of-disadvantaged-children, childcare-and-early-education, teaching-and-school-leadership, school-and-college-qualifications-and-curriculum, academies-and-free-schools",,,,9,3,6,7,3,12,8,7,1,2,3,5,66,12,1,6,6,current - no work needed,,,N/A,200,
Early years providers and inspections outcomes as at 31 December 2015,https://www.gov.uk/government/statistics/announcements/early-years-providers-and-inspections-outcomes-as-at-31-december-2015,,,Statistics announcement,Official Statistics,,,ofsted,,,,,,,,,11,5,10,12,6,12,11,7,74,12,5,6,10,current - no work needed,,,,200,
Social mobility charities put in charge of fund for the poorest children,https://www.gov.uk/government/news/social-mobility-charities-put-in-charge-of-fund-for-the-poorest-children,,01/04/2011,News article,Press release,,,department-for-education,education-of-disadvantaged-children,,,,5,4,7,4,10,11,9,5,7,5,6,5,78,11,4,6,6,not relevant to topic - remove from list,,This isn't related to early years. Remove from list.,N/A,200,
